id,code,state_id/id,country_id/id,name,municipality_id/id
res_city_py188,6157,dpto_py2,base.py,"RINCON LOMA",paraguay_mun_id_02
res_city_py189,6158,dpto_py2,base.py,"ROMERO PATIÑO",paraguay_mun_id_02
res_city_py190,6159,dpto_py2,base.py,"SALADILLO",paraguay_mun_id_02
res_city_py191,6160,dpto_py2,base.py,"SAN ANTONIO DE LA SIERRA",paraguay_mun_id_02
res_city_py192,6161,dpto_py2,base.py,"SANJITA",paraguay_mun_id_02
res_city_py193,6216,dpto_py2,base.py,"VILLA SANA",paraguay_mun_id_02
res_city_py194,6217,dpto_py2,base.py,"YBYRAIPETY",paraguay_mun_id_02
res_city_py195,6218,dpto_py2,base.py,"YGATIGO",paraguay_mun_id_02
res_city_py196,6219,dpto_py2,base.py,"YUQUERI",paraguay_mun_id_02
res_city_py197,6220,dpto_py2,base.py,"ÑA VENTURA CUE",paraguay_mun_id_02
res_city_py198,969,dpto_py2,base.py,"SAN LAZARO",paraguay_mun_id_03
res_city_py199,970,dpto_py2,base.py,"COL. SAN LAZARO",paraguay_mun_id_03
res_city_py200,971,dpto_py2,base.py,"CONFLUENCIA",paraguay_mun_id_03
res_city_py201,972,dpto_py2,base.py,"PUERTO RISSO",paraguay_mun_id_03
res_city_py202,973,dpto_py2,base.py,"SALADERO R.",paraguay_mun_id_03
res_city_py203,974,dpto_py2,base.py,"VALLE MI",paraguay_mun_id_03
res_city_py204,6221,dpto_py2,base.py,"LOMA SAN MIGUEL",paraguay_mun_id_03
res_city_py205,975,dpto_py2,base.py,"SAN CARLOS",paraguay_mun_id_04
res_city_py206,976,dpto_py2,base.py,"ARRECIFE",paraguay_mun_id_04
res_city_py207,977,dpto_py2,base.py,"CERRO PAIVA",paraguay_mun_id_04
res_city_py208,978,dpto_py2,base.py,"CONCEPCION",paraguay_mun_id_04
res_city_py209,979,dpto_py2,base.py,"GAONA CUE",paraguay_mun_id_04
res_city_py210,980,dpto_py2,base.py,"INVERNADA VIEJO",paraguay_mun_id_04
res_city_py211,981,dpto_py2,base.py,"OJEDA CUE",paraguay_mun_id_04
res_city_py212,982,dpto_py2,base.py,"PONCIERRE",paraguay_mun_id_04
res_city_py213,983,dpto_py2,base.py,"POTRERO",paraguay_mun_id_04
res_city_py214,984,dpto_py2,base.py,"POTRERO ESTRELLA",paraguay_mun_id_04
res_city_py215,985,dpto_py2,base.py,"PUERTO MAX Y OTRO",paraguay_mun_id_04
res_city_py216,986,dpto_py2,base.py,"RECALDE CUE",paraguay_mun_id_04
res_city_py217,987,dpto_py2,base.py,"SAN BLAS",paraguay_mun_id_04
res_city_py218,988,dpto_py2,base.py,"SAN CARLOS",paraguay_mun_id_04
res_city_py219,989,dpto_py2,base.py,"SAN FERNANDO",paraguay_mun_id_04
res_city_py220,990,dpto_py2,base.py,"SANTA ROSA",paraguay_mun_id_04
res_city_py221,991,dpto_py2,base.py,"VILLAMAYOR CUE",paraguay_mun_id_04
res_city_py222,992,dpto_py2,base.py,"UGARTE CUE",paraguay_mun_id_04
res_city_py223,993,dpto_py2,base.py,"URAN CUE Y OTRO",paraguay_mun_id_04
res_city_py224,6222,dpto_py2,base.py,"CABALLERO CUE",paraguay_mun_id_04
res_city_py225,6223,dpto_py2,base.py,"LOMA PORA",paraguay_mun_id_04
res_city_py226,6224,dpto_py2,base.py,"POTRERO MBAREGUI",paraguay_mun_id_04
res_city_py227,6225,dpto_py2,base.py,"SAN RAFAEL",paraguay_mun_id_04
res_city_py228,6226,dpto_py2,base.py,"ÑU PYHAJHU",paraguay_mun_id_04
res_city_py229,994,dpto_py2,base.py,"BELEN",paraguay_mun_id_05
